fullname,actual,short
Ride Medicine Corner,Medicine ,MDCN
Konok Pharmacy,Pharmacy,PHAR
Shahera Medicine Corner,,
Manik Medical Hall,,
Sourav Sajib Medical hall,,
Tonni Medicine Corner,,
Ghosh Pharma,,
Nazim Medical Hall,,
Anjumonoara Pharmacy,,
Nishan Pharmacy,,
Sinha Madical Hall,,
Maa Baba Pharmacy,,
Janany Medicine Hall,,
Bushra Medical Hall,,
Sunlight Pharmacy,,
Nazma Pharmacy,,
Takwa Pharmacy,,
Puja Pharmacy,,
Maa Pharmacy,,
Mollah Medicine Corner,,
Rabeya Pharmacy,,
Professor Pharmacy,,
Sadiq Pharmacy,,
Maulana Medical Hall,,
Maa Medicine Corner,,
Bilas Pharmacy,,
Morol Pharmacy,,
Shihad Medical Hall,,
Mahia Medical Hall,,
Mirpur Pharmacy,,
Tasin Medicine Corner,,
Shahodagor Pharmacy,,
Raisa Medical Hall,,
Sikder Pharmacy,,
Shafi Drug House,,
Fatama Pharmacy,,
Mou Medicine Corner,,
Dr.Abu Bakkar,,
Janoni Model Medicine Shop,,
Dohar Pharmacy,,
Arefin Pharmacy,,
Sadia Pharmacy,,
Thakurgaon Medicine Corner,,
Sohana Medical Store,,
Tazwaar Medicine Mart,,
Abdulla Pharmacy,,
M Peara Medicine Corner,,
Tapoti Pharmacy,,
Cure Pharmacy,,
Wahidul Pharmacy,,
Rahima Pharmacy,,
Masum Medical Hall,,
Master Medical Hall,,
Johora Pharmacy,,
Medicine Point,,
Sefa Pharmacy,,
Mayer Doya Pharmacy,,
Loknath Pharmacy,,
Dhaka Pharmacy,,
Rahima Pharmacy,,
A B Pharmacy,,
Sufi Drug House,,
Mina Medical Hall,,
Three Sister s Pharmacy,,
A B R Pharmacy,,
Bismillah Pharmacy,,
Noakhali Pharmacy,,
Ripon Medical Hall,,
Anas Pharma,,
United Diagnostic & Consolation Center,,
Bakaul Pharmacy,,
Lily Pharmacy,,
Satota Pharmacy,,
Jahan Medical Hall,,
Mayer Doya Pharmacy,,
Shua Medicine Corner,,
